protocol,flow_duration,total_packets,total_bytes,bytes_per_sec,mean_pkt_len,std_pkt_len,max_pkt_len,min_pkt_len,uplink_packet_count,uplink_byte_count,uplink_mean_size,uplink_std_size,downlink_packet_count,downlink_byte_count,downlink_mean_size,downlink_std_size,uplink_downlink_ratio,uplink_bytes_ratio,iat_mean,iat_std,iat_max,first_10_pkts_len_mean,first_10_pkts_len_std,pkt_len_entropy,label,source_file
tcp,125.69098401069641,313,211253,1680.733122289998,674.9297124600639,665.418056523747,1466,66,145,29150,201.0344827586207,361.8376548482921,168,182103,1083.9464285714287,592.2970142441062,0.8630952380952381,0.16007424369724826,0.4028557179830013,6.785867298807484,120.06466507911682,528.5,610.567154373702,1.5012807695964143,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
tcp,60.05353617668152,10,1090,18.15047155246857,109.0,123.6939772179713,480,66,6,404,67.33333333333333,2.981423969999719,4,686,171.5,178.1200437906975,1.5,0.5889212827988338,6.672615130742391,9.657573865010848,24.535264015197754,109.0,123.6939772179713,0.4689955935892812,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
tcp,60.06387996673584,10,1090,18.14734580256314,109.0,123.6939772179713,480,66,6,404,67.33333333333333,2.981423969999719,4,686,171.5,178.1200437906975,1.5,0.5889212827988338,6.6737644407484265,9.663562069506735,24.582967042922974,109.0,123.6939772179713,0.4689955935892812,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
udp,4.013514995574951,5,6460,1609.5616952029304,1292.0,0.0,1292,1292,5,6460,1292.0,0.0,0,0,0.0,0.0,999.0,999.0,1.0033787488937378,0.6047897385113989,1.8954839706420898,1292.0,0.0,-0.0,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
tcp,15.040128946304321,5,370,24.60085291296102,74.0,0.0,74,74,5,370,74.0,0.0,0,0,0.0,0.0,999.0,999.0,3.7600322365760803,2.685843321628739,8.01090407371521,74.0,0.0,-0.0,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
tcp,15.011152029037476,5,370,24.64834139873305,74.0,0.0,74,74,5,370,74.0,0.0,0,0,0.0,0.0,999.0,999.0,3.752788007259369,2.687534716018829,8.006628036499023,74.0,0.0,-0.0,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
tcp,163.30368089675903,26,9753,59.72308735750953,375.11538461538464,507.5335780421199,1466,54,14,2560,182.85714285714286,281.6304207246635,12,7193,599.4166666666666,610.034897681181,1.1666666666666667,0.3559015709717781,6.532147235870362,31.893743508764164,162.77875089645386,470.6,553.5744213743984,1.6306882747516656,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
tcp,15.056779146194458,5,370,24.573648614186922,74.0,0.0,74,74,5,370,74.0,0.0,0,0,0.0,0.0,999.0,999.0,3.7641947865486145,2.6988101568191953,8.047075033187866,74.0,0.0,-0.0,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
tcp,15.033606052398682,5,370,24.611526915790424,74.0,0.0,74,74,5,370,74.0,0.0,0,0,0.0,0.0,999.0,999.0,3.7584015130996704,2.696533812522675,8.032654047012329,74.0,0.0,-0.0,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
tcp,120.94093704223633,41,11963,98.9160518561399,291.780487804878,446.01626964720236,1466,66,18,2363,131.27777777777777,145.63912995084635,23,9600,417.39130434782606,549.6149434025082,0.782608695652174,0.24614583333333334,3.0235234260559083,18.735570168894185,120.02670001983643,668.5,647.8365920508041,1.319228935231356,common,1690189180_clear_class_28__type_null_url_0_normal.pcap
